district,distid,sample_geog,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize
,,,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize_6,hhsize_710,hhsize_1114,hhsize_15p
jhabua,464,1,6076,16730,20433,32580,35737,30895,46221,3789,655
