district,distid,total_pop,SexLabel,SexLabel,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,religion,religion,religion,religion,religion,religion,religion,caste,caste,caste
,distid,total_pop,male,female,0to4,5to9,10to14,15to19,20to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,60to64,65to69,70to74,75to79,80p,hindu,muslim,christian,sikh,buddhist,jain,other,SC,ST,other
thiruvarur,619,1264277,626693,637584,86797,93363,110601,114032,111843,111244,97235,101152,91506,87225,68618,55419,50600,33440,24859,11629,12551,1132785,96092,33192,258,151,279,64,430927,3034,830316
