district,distid,sample_geog,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize
,,,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize_6,hhsize_710,hhsize_1114,hhsize_15p
tonk,120,1,9601,22533,26093,49337,51714,40589,55228,7867,2587
