district,distid,sample_geog,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize
,,,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize_6,hhsize_710,hhsize_1114,hhsize_15p
baghpat,139,1,5433,10759,14632,28128,35537,34057,64587,11859,4333
