district,distid,sample_geog,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize
,,,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize_6,hhsize_710,hhsize_1114,hhsize_15p
lower_subansiri,255,1,1175,1264,1715,2153,2166,1933,3872,467,281
